name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Samsung SDI,14.69兆, - Samsung SDI Co Ltd (KRX),KRW,0.0009,1469000000000000,1322100000000
Toshiba,2.00兆, - Toshiba Corp (TYO),JPY,0.0092,200000000000000,1840000000000
Quanta Computer,2081.81億, - 廣達電腦 (TPE),TWD,,20818100000000,
Lenovo Group,,,,1.0,,
TDK,1.29兆, - TDK Corp (TYO),JPY,0.0092,129000000000000,1186800000000
Pegatron,1725.17億, - 和碩聯合科技 (TPE),TWD,,17251700000000,
Emirates Integrated Telecom,,,,1.0,,
Asustek Computer,,,,1.0,,
China Railway Signal & Communication,,,,1.0,,
KT Corp,7.10兆, - KT Corp (KRX),KRW,0.0009,710000000000000,639000000000
Turkcell,272.87億, - Turkcell Iletisim Hizmetleri A.S. (IST),TRY,0.2167,2728700000000,591309290000
Legend Holding,586.70億, - 聯想控股 (HKG),HKD,0.1275,5867000000000,748042500000
VEON,46.07億, - VEON Ltd (ADR) (NASDAQ),USD,1.0,460700000000,460700000000
Tsinghua Tongfang,323.95億, - 清華同方 (SHA),,1.0,3239500000000,3239500000000
TCL Corp,435.18億, - TCL集團 (SHE),CNY,0.1558,4351800000000,678010440000
Arrow Electronics,65.16億," - Arrow Electronics, Inc. (NYSE)",USD,1.0,651600000000,651600000000
NEC,7866.29億, - NEC Corp (TYO),JPY,0.0092,78662900000000,723698680000
G4S,42.90億, - G4S plc (LON),GBP,1.3263,429000000000,568982700000
Avnet,45.54億," - Avnet, Inc. (NASDAQ)",USD,1.0,455400000000,455400000000
LG Uplus,5.37兆, - LG Uplus Corp (KRX),KRW,0.0009,537000000000000,483300000000
Rexel,39.05億, - Rexel SA (EPA),EUR,1.1558,390500000000,451339900000
Jabil Circuit,48.61億, - Jabil Inc (NYSE),USD,1.0,486100000000,486100000000
Yamada Denki,5518.66億, - Yamada Denki Co Ltd (TYO),JPY,0.0092,55186600000000,507716720000
China Great Wall Computer,,,,1.0,,
China Communications Services,344.22億, - 中國通信服務股份有限公司 (HKG),HKD,0.1275,3442200000000,438880500000
Nanya Technology,2969.85億, - 南亞科技 (TPE),TWD,,29698500000000,
Konica Minolta Business Solutions,5076.91億, - Konica Minolta Inc (TYO),JPY,0.0092,50769100000000,467075720000
Innolux,1149.46億, - 群創光電 (TPE),TWD,,11494600000000,
SYNNEX,43.37億, - SYNNEX Corporation (NYSE),USD,1.0,433700000000,433700000000
AU Optronics,1236.72億, - 友達光電 (TPE),TWD,,12367200000000,
Sistema,994.62億, - AFK Sistema PAO (MCX),RUB,0.016,9946200000000,159139200000
Tech Data,31.21億, - Tech Data Corp (NASDAQ),USD,1.0,312100000000,312100000000
Compal Electronics,,,,1.0,,
Inventec,862.79億, - 英業達集團 (TPE),TWD,,8627900000000,
Frontier Communications,6.27億, - Frontier Communications Corp (NASDAQ),USD,1.0,62700000000,62700000000
Wistron,636.32億, - 緯創資通 (TPE),TWD,,6363200000000,
WPG Holdings,786.60億, - 大聯大投資控股股份有限公司 (TPE),TWD,,7866000000000,
Synnex Technology Intl,,,,1.0,,
Oi,30.48億, - Owens-Illinois Inc (NYSE),USD,1.0,304800000000,304800000000
Intelsat,18.91億, - Intelsat SA (NYSE),USD,1.0,189100000000,189100000000
